Image TSC_3_07; scale=1.5947265625e-07; signal=inlens
n°cupule; surface(m**2); fermeture_cupule(boolean); diametre_equivalent(m); grand_axe(m); petit_axe(m)
59; 3.4866625013351446e-11; True; 7.742155223326905e-06; 7.5648539461195475e-06; 6.637374667450786e-06
60; 1.2062173773765566e-10; False; 1.7473932698138555e-05; 1.763928763866425e-05; 1.2711876753717662e-05
61; 8.819653942108155e-11; True; 1.2838575193788061e-05; 1.8712547667324546e-05; 6.734583126008511e-06
62; 9.933554872512819e-11; True; 1.8941530000929087e-05; 1.8833009918779137e-05; 7.5400750450789935e-06
63; 2.6931988248825077e-11; False; 7.072525373137409e-06; 1.049477101713419e-05; 3.891039675660431e-06
64; 1.413992961883545e-10; True; 1.67830011637182e-05; 2.132739941775799e-05; 9.625669252499939e-06
65; 4.837076642990113e-11; True; 9.176540988801482e-06; 9.225291560217739e-06; 7.037004101648927e-06
66; 1.0343002474784852e-10; True; 1.29512869734946e-05; 1.6245088159292937e-05; 9.038901688158513e-06
67; 7.41329043865204e-11; True; 1.1382565067796627e-05; 1.312298191189766e-05; 8.12655121460557e-06
68; 3.65705373954773e-11; True; 7.44728507785067e-06; 8.529002129286528e-06; 6.4464234627783305e-06
69; 5.816190474510194e-11; True; 9.481047441712044e-06; 9.163568176701666e-06; 8.560167990997435e-06
70; 5.5288142070770275e-11; True; 9.478533507269507e-06; 1.1964905916899443e-05; 6.508321439847351e-06
71; 2.6957419776916507e-11; True; 6.635527209513467e-06; 8.979602539166808e-06; 4.372931873612106e-06
72; 3.255235595703125e-11; True; 7.094893698576475e-06; 8.822958055138589e-06; 5.423903848975897e-06
73; 5.772956876754762e-11; False; 1.0072672184890709e-05; 1.1047453904896975e-05; 7.831239299103618e-06
74; 7.916834694862368e-11; True; 1.1547384206446443e-05; 1.2906210936605932e-05; 9.301506208628417e-06
75; 2.2812080698013308e-11; True; 5.957862296407514e-06; 8.189416452124715e-06; 3.838878482952714e-06
76; 7.331909548759461e-11; True; 1.0652816904462196e-05; 1.1271601609885694e-05; 8.920384907722473e-06
77; 3.105189579963684e-11; False; 8.90118498760856e-06; 1.3060805923491717e-05; 3.511809095181525e-06
78; 6.925005099296571e-11; True; 1.4815234173715912e-05; 1.940600527599454e-05; 5.102293095178902e-06
79; 2.92716888332367e-11; True; 6.459208947057055e-06; 7.006803675368429e-06; 5.567695327475667e-06
